cpt,description,allowed_amount
67028,"Intravitreal injection of a pharmacologic agent",100.00
70450,"CT head or brain; without contrast material",140.00
70553,"MRI brain stem; without contrast material followed by contrast",320.00
71045,"Radiologic examination, chest; single view",25.00
72148,"MRI lumbar spine; without contrast material",290.00
73721,"MRI joint of lower extremity; without contrast material",280.00
74176,"CT abdomen and pelvis; without contrast material",310.00
76700,"Ultrasound, abdominal, real time with image documentation; complete",130.00
73502,"Radiologic examination, hip, unilateral; with pelvis",35.00
80048,"Basic metabolic panel (Calcium, total)",9.50
80305,"Drug test(s), presumptive, any number of drug classes, optical observation",12.00
81001,"Urinalysis, by dip stick or tablet reagent; automated",3.50
82306,"Vitamin D; 25 hydroxy, includes fraction(s), if performed",35.00
83036,"Hemoglobin; glycosylated (A1C)",11.00
84153,"Prostate specific antigen (PSA); total",22.00
84439,"Thyroxine; free",10.50
85018,"Blood count; hemoglobin",2.50
85610,"Prothrombin time",4.50
87086,"Culture, bacterial; quantitative colony count, urine",9.00
87804,"Infectious agent antigen detection by immunoassay with direct optical observation; Influenza",14.00
87880,"Infectious agent antigen detection by immunoassay with direct optical observation; Strep A",14.00
90791,"Psychiatric diagnostic evaluation",145.00
90853,"Group psychotherapy (other than of a multiple-family group)",30.00
92004,"Ophthalmological services: medical examination and evaluation",140.00
92014,"Ophthalmological services: medical examination and evaluation, est patient",110.00
93306,"Echocardiography, transthoracic, real-time with image documentation",210.00
94010,"Spirometry, including graphic record, total and timed vital capacity",35.00
94640,"Pressurized or nonpressurized inhalation treatment for acute airway obstruction",18.00
95810,"Polysomnography; age 6 years or older, sleep staging with 4 or more params",650.00
96360,"Intravenous infusion, hydration; initial, 31 minutes to 1 hour",45.00
96372,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug)",20.00
97112,"Therapeutic procedure, 1 or more areas, each 15 min; neuromuscular reeducation",28.00
97530,"Therapeutic activities, direct (one-on-one) patient contact",30.00
98941,"Chiropractic manipulative treatment (CMT); spinal, 3-4 regions",35.00
99281,"Emergency department visit, low severity",25.00
99282,"Emergency department visit, low to moderate severity",45.00
A0428,"Ambulance service, basic life support, non-emergency transport",220.00
G0402,"Initial preventive physical examination; face-to-face visit",130.00
G0438,"Annual wellness visit; includes a personalized prevention plan of service (PPS), initial visit",135.00
G0439,"Annual wellness visit, includes a personalized prevention plan of service (PPS), subsequent visit",95.00
